"Bill Of Material For pcicard.PCB"
"On 10-May-2016 at 09:35:54"

"Comment","Pattern","Quantity","Components"


"0.1u","0603","189","B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B16 B17 B18 B19 B20 B21 B22"
,,,"B23 B24 B25 B26 B27 B28 B29 B30 B31 B32 B33 B34 B35 B36 B37"
,,,"B38 B39 B40 B41 B42 B43 B44 B45 B46 B47 B48 B49 B50 B51 B52"
,,,"B53 B54 B55 B56 B57 B58 B59 B60 B61 B62 B63 B64 B65 B66 B67"
,,,"B68 B69 B100 B101 B102 B103 B104 B105 B106 B107 B108 B109 B110"
,,,"B111 B112 B113 B114 B115 B200 B201 B202 B203 B204 B205 B206 B207"
,,,"B208 B209 B210 B211 B212 B213 B214 B215 B216 B217 B218 B219 B220"
,,,"B221 B222 B223 B224 B225 B226 B227 B228 B229 C12 C107 C108 C109"
,,,"C110 C111 C112 C113 C114 C116 C117 C118 C119 C120 C121 C122 C202"
,,,"C205 C207 C208 C210 C215 C216 C217 C220 C221 C228 C229 C230 C231"
,,,"C232 C233 C234 C300 C301 C302 C303 C402a C402b C402c C402d C403"
,,,"C406 C411 C413 C415 C417 C426 C428 C430 C432 C434 C437 C439 C450"
,,,"C454 C455 C500 C510 C511 C514 C515 C516 C517 C518 C519 C520 C525"
,,,"C526 C527 C529 C535 C543 C544 C545 C600 C603 C608 C609"
"0R033","1206","1","R400"
"100K","0603","4","R238 R240 R610 R620"
"100K0","0805","4","R108 R109 R147 R155"
"100R","1206","4","R608 R609 R618 R619"
"100u 8R","1812","8","L502 L503 L504 L505 L506 L507 L600 L601"
"100u/6.3","EC_C","10","C11 C100 C201 C204 C427 C429 C431 C433 C435 C451"
"10K","0603","19","R5 R22 R27 R65 R313 R500 R501 R502 R503 R547 R548 R554 R600"
,,,"R604 R606 R607 R613 R614 R615"
"10K0","1206","6","R530 R531 R534 R535 R549 R552"
"10K2","0805","7","R148 R149 R150 R151 R152 R153 R154"
"10R","2512","2","R545 R546"
"10n","0603","4","C128 C209 C213 C447"
"150R","0603","17","R30 R31 R32 R33 R34 R102 R111 R113 R115 R130 R160 R211 R213"
,,,"R260 R262 R423 R603"
"150R","2512","4","R222 R223 R224 R225"
"15u/20","EC_C","2","C424 C425"
"17Vpp","RAD0.1","1","TEX1"
"18K2","0805","2","R158 R159"
"1K","0603","38","R21 R110 R112 R145 R156 R157 R214 R215 R216 R217 R218 R219 R220"
,,,"R221 R232 R233 R257 R258 R259 R261 R401 R404 R406 R407 R410 R504"
,,,"R514 R515 R516 R553 R560 R561 R562 R563 R567 R601 R602 R617"
"1K2","2512","4","R6 R7 R60 R61"
"1K5","0603","8","R9 R12 R206 R237 R239 R241 R242 R409"
"1M","0603","3","R229 R230 R256"
"1M","1206","4","R532 R533 R536 R537"
"1n","0603","8","C129 C130 C131 C536 C606 C607 C611 C612"
"1n","1206","3","C512 C513 C524"
"1n5/1000","1812","3","C3 C6 C613"
"1p","0603","3","C235 C236 C237"
"2.4576MHz","HC49V","1","X500"
"220R","0603","17","R37 R101 R137 R140 R141 R202 R203 R208 R209 R517 R518 R519 R538"
,,,"R539 R541 R542 R616"
