"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"DIP28_600";1;"27C256";;;
2;"R15,R16";"Res_762";2;"33";;;
3;"R7,R8,R6,R5,R4,R3,R2,R1";"Res_762";8;"4.7k";;;
4;"R9";"Res_762";1;"1k";;;
5;"R10,R11,R12,R13";"Res_762";4;"150";;;
6;"R14";"Res_762";1;"100";;;
7;"U5,U6,U3,U4";"DIP20_300";4;"MT4C4256";;;
8;"C15,C13,C14,C16";"Cap_Tant_504";4;"10uF";;;
9;"C1,C2,C3,C4,C6,C8,C9,C10,C11,C12,C5,C7";"Cap_Cer_504";12;"0.1uF";;;
10;"C17";"Cap_Cer_504";1;"1nF";;;
11;"C18";"Cap_Cer_504";1;"470pF";;;
12;"C19";"Cap_Cer_504";1;"100pF";;;
13;"C20,C21,C22,C23,C25,C24,C26,C27";"Cap_Cer_504";8;"47pF";;;
14;"BUS1";"Conn_Bus_ISA8";1;"BUSPC_DEV";;;
15;"P1";"Conn_Dsub_DE15F";1;"VGA";;;
16;"U1";"PQFP-160";1;"TVGA9000I";;;
17;"X1";"Crystal_HC-49U_Vert";1;"40MHz";;;
18;"JP1";"Conn_Pin_Header_2x1_Nokey";1;"HSYNC_SEL";;;
19;"FB1,FB2,FB3,FB4,FB5,FB6";"Res_1016";6;"FILTER";;;
20;"L1,L3";"Res_1016";2;"5.7uH";;;
21;"L2";"Res_1016";1;"2.7uH";;;
